新聞社, カテゴリ, 件数, CLI_AVE, CLI_VAR, FKG_AVE, FKG_VAR, SVL_AVE_AVE, SVL_AVE_VAR, TOEIC_AVE_AVE, TOEIC_AVE_VAR, SVLの平均単語数, 平均単語数
CNN, Technology health, 2, 10.400056558912524, 0.16513288662269235, 9.26355729928987, 0.3581982918063586, 2.04526901669759, 0.013923124318035343, 286.275077160494, 170.69946716987837, 229.5, 255.5
CNN, World Sport us, 3, 10.63600589831875, 0.9313389465610079, 9.458176403922153, 1.2682118800065454, 2.09390452076861, 0.011033260883447261, 306.403575778576, 446.2171281469828, 209.66666666666666, 258.0
CNN, Money smallbusiness, 2, 11.8230884032325, 0.008694532871590235, 8.811858032112639, 0.24483819924018724, 2.400530424935935, 0.001535533749444476, 328.7331002331, 0.13650355083931098, 260.0, 320.0
CNN, Money 01, 4, 12.09671836941725, 0.5791319957984719, 8.201721421834673, 0.5481268143421454, 2.2137733983116523, 0.010264420173678948, 308.86402027027026, 47.86182468892123, 114.75, 151.0
CNN, Technology world, 4, 10.961379947921333, 0.7906018110000472, 12.825991661203325, 3.4386118431759427, 2.2009693141182827, 0.008041000730735687, 314.777231904308, 36.69864221877989, 159.75, 189.5
CNN, World Sport skiing, 3, 8.91011271355009, 0.555450239143442, 8.80449593080652, 0.7139886173693767, 2.01411709539121, 0.008299471986195302, 297.65173512059897, 56.03327818778862, 217.66666666666666, 254.0
CNN, Money world, 1, 8.79919191919192, 0.0, 8.53961904761905, 0.0, 2.0, 0.0, 297.586206896552, 0.0, 146.0, 160.0
CNN, World skiing, 1, 7.96779352226718, 0.0, 7.63319796954315, 0.0, 1.89417989417989, 0.0, 289.836956521739, 0.0, 189.0, 214.0
CNN, Money europe, 2, 10.10788020866638, 0.3495760964583637, 11.888006558907751, 1.2703983481472836, 2.2703844528939596, 0.025367997402676555, 309.989373562818, 70.50042648817272, 248.5, 285.5
CNN, Entertainment entertainment, 72, 10.4926128706012, 2.0172416697571993, 12.34464773234587, 457.56040270650817, 2.0756725730265346, 0.056248414894897986, 302.4429266293278, 301.255879056861, 159.98611111111111, 196.76388888888889
CNN, Money pf, 2, 10.81660318162075, 0.0062589822972897715, 8.464949042982045, 0.6973163629300618, 2.328536344305015, 0.01898467845259848, 325.956271397448, 161.823262953213, 183.0, 227.0
CNN, Technology homepage4, 1, 11.567095959596, 0.0, 7.85519480519482, 0.0, 1.89032258064516, 0.0, 303.006535947712, 0.0, 155.0, 181.0
CNN, Money 2015, 1, 13.2906319702602, 0.0, 9.26450980392157, 0.0, 2.71717171717172, 0.0, 333.297872340426, 0.0, 99.0, 137.0
